Riu de Soplanas	Riu de Soplanars	TRUE	3038992	3038992	LATIN	LATIN	AD	AD
Valira del Norte	Tristaina	FALSE	3038873	3038886	LATIN	LATIN	AD	AD
Bois de Soldeu	Bosc de Soldeu	TRUE	3038998	3038998	LATIN	LATIN	AD	AD
Port de L’Ovella	Ордино	FALSE	3039643	3039676	LATIN	CYRILLIC	AD	AD
Port des Bareytes	Port de Bareites	TRUE	3034945	3034945	LATIN	LATIN	AD	AD
Carretera General No. 2	Pic de Noé	FALSE	3039726	3039731	LATIN	LATIN	AD	AD
Pico de Ancla	Pic d’Ós	TRUE	3039547	3039547	LATIN	LATIN	AD	AD
Pic de Serrère	Ehl Tarter	FALSE	3039101	3039154	LATIN	LATIN	AD	AD
Pic d’ Escobes	Pic d' Escobes	TRUE	3039731	3039731	LATIN	LATIN	AD	AD
Étang de Font-Nègre	Port Vieux de la Coume d’Ose	FALSE	3017833	3023203	LATIN	LATIN	AD	AD
Pic d'Os	Pic d’Ós	TRUE	3039547	3039547	LATIN	LATIN	AD	AD
Pic dels Pessons	Coma de Percanela	FALSE	3039553	3039565	LATIN	LATIN	AD	AD
Étang de Font-Nègre	Estany de les Abelletes	TRUE	3017833	3017833	LATIN	LATIN	AD	AD
Estany de les Abelletes	Port Vieux de la Coume d'Ose	FALSE	3017833	3023203	LATIN	LATIN	AD	AD
Sant Julià de Lòria	Сан Жулија де Лорија	TRUE	3039162	3039162	LATIN	CYRILLIC	AD	AD
Solà d’Arcabell	Siscaró	FALSE	3039057	3039081	LATIN	LATIN	AD	AD
